mass_A
t	x	y
0,000	3,470E−3	0,408
0,033	6,067E−3	0,407
0,067	1,099E−2	0,405
0,100	1,774E−2	0,400
0,133	2,840E−2	0,396
0,167	4,236E−2	0,389
0,200	5,930E−2	0,382
0,233	7,897E−2	0,373
0,267	0,102	0,363
0,300	0,128	0,352
0,333	0,158	0,342
0,367	0,190	0,334
0,400	0,224	0,329
0,433	0,259	0,329
0,467	0,293	0,335
0,500	0,326	0,340
0,533	0,357	0,345
0,567	0,387	0,348
0,600	0,417	0,347
0,633	0,447	0,343
0,667	0,477	0,336
0,700	0,509	0,326
0,733	0,543	0,314
0,767	0,579	0,303
0,800	0,618	0,293
0,833	0,660	0,288
0,867	0,701	0,286
0,900	0,743	0,286
0,933	0,783	0,288
0,967	0,826	0,287
1,000	0,868	0,286
1,033	0,910	0,283
1,067	0,950	0,281
1,100	0,993	0,280
1,133	1,035	0,276
1,167	1,078	0,274
1,200	1,121	0,274
1,233	1,163	0,277
1,267	1,204	0,282
1,300	1,243	0,288
1,333	1,281	0,296
1,367	1,317	0,305
1,400	1,351	0,312
1,433	1,381	0,321
