mass_A
t	x	y
0,000	−3,809E−4	0,410
0,033	−9,093E−5	0,409
0,067	3,951E−3	0,408
0,100	1,041E−2	0,402
0,133	1,948E−2	0,397
0,167	3,172E−2	0,392
0,200	4,732E−2	0,386
0,233	6,595E−2	0,377
0,267	8,779E−2	0,368
0,300	0,112	0,357
0,333	0,140	0,346
0,367	0,171	0,337
0,400	0,204	0,333
0,433	0,240	0,327
0,467	0,275	0,331
0,500	0,308	0,336
0,533	0,341	0,342
0,567	0,372	0,346
0,600	0,402	0,349
0,633	0,431	0,344
0,667	0,462	0,338
0,700	0,493	0,330
0,733	0,526	0,319
0,767	0,562	0,307
0,800	0,601	0,299
0,833	0,641	0,290
0,867	0,683	0,286
0,900	0,725	0,286
0,933	0,767	0,287
0,967	0,809	0,288
1,000	0,851	0,286
1,033	0,892	0,284
1,067	0,933	0,282
1,100	0,976	0,279
1,133	1,019	0,276
1,167	1,062	0,274
1,200	1,106	0,274
1,233	1,149	0,276
1,267	1,192	0,281
1,300	1,232	0,286
1,333	1,272	0,294
1,367	1,309	0,303
1,400	1,343	0,311
1,433	1,376	0,322
