mass_A
t	x	y
0,000	1,323E−3	0,408
0,033	4,973E−3	0,405
0,067	1,599E−2	0,399
0,100	3,093E−2	0,395
0,133	4,652E−2	0,387
0,167	6,482E−2	0,378
0,200	8,742E−2	0,368
0,233	0,113	0,359
0,267	0,142	0,348
0,300	0,172	0,339
0,333	0,209	0,333
0,367	0,242	0,332
0,400	0,277	0,337
0,433	0,312	0,343
0,467	0,342	0,347
0,500	0,372	0,353
0,533	0,403	0,353
0,567	0,434	0,350
0,600	0,464	0,342
0,633	0,497	0,334
0,667	0,530	0,323
0,700	0,567	0,310
0,733	0,606	0,301
0,767	0,647	0,296
0,800	0,690	0,295
0,833	0,732	0,295
0,867	0,773	0,297
0,900	0,816	0,298
0,933	0,856	0,297
0,967	0,898	0,295
1,000	0,941	0,293
1,033	0,982	0,293
1,067	1,027	0,288
1,100	1,069	0,288
1,133	1,113	0,289
1,167	1,156	0,291
1,200	1,199	0,296
1,233	1,239	0,303
1,267	1,277	0,313
1,300	1,313	0,322
1,333	1,348	0,329
1,367	1,382	0,337
