mass_A
t	x	y
0,000	5,426E−3	0,407
0,033	1,037E−2	0,404
0,067	1,419E−2	0,402
0,100	2,563E−2	0,398
0,133	3,609E−2	0,392
0,167	5,155E−2	0,386
0,200	7,249E−2	0,377
0,233	9,381E−2	0,367
0,267	0,118	0,357
0,300	0,147	0,347
0,333	0,178	0,338
0,367	0,211	0,330
0,400	0,245	0,329
0,433	0,280	0,332
0,467	0,312	0,338
0,500	0,344	0,344
0,533	0,372	0,348
0,567	0,402	0,348
0,600	0,431	0,347
0,633	0,463	0,341
0,667	0,493	0,332
0,700	0,524	0,322
0,733	0,560	0,310
0,767	0,597	0,299
0,800	0,637	0,292
0,833	0,678	0,289
0,867	0,719	0,288
0,900	0,762	0,288
0,933	0,803	0,290
0,967	0,844	0,289
1,000	0,884	0,287
1,033	0,927	0,285
1,067	0,969	0,281
1,100	1,011	0,278
1,133	1,054	0,276
1,167	1,096	0,276
1,200	1,139	0,277
1,233	1,181	0,282
1,267	1,222	0,286
1,300	1,261	0,294
1,333	1,298	0,303
1,367	1,333	0,310
1,400	1,367	0,319
1,433	1,397	0,323
