mass_A
t	x	y
0,000	2,265E−3	0,410
0,033	6,682E−3	0,408
0,067	1,228E−2	0,405
0,100	2,139E−2	0,400
0,133	3,442E−2	0,395
0,167	5,015E−2	0,388
0,200	6,822E−2	0,379
0,233	8,993E−2	0,369
0,267	0,115	0,359
0,300	0,143	0,348
0,333	0,174	0,338
0,367	0,208	0,333
0,400	0,243	0,330
0,433	0,278	0,333
0,467	0,312	0,339
0,500	0,343	0,344
0,533	0,373	0,348
0,567	0,405	0,351
0,600	0,433	0,348
0,633	0,463	0,342
0,667	0,493	0,334
0,700	0,526	0,323
0,733	0,561	0,311
0,767	0,599	0,301
0,800	0,639	0,291
0,833	0,681	0,288
0,867	0,722	0,287
0,900	0,763	0,288
0,933	0,805	0,289
0,967	0,846	0,288
1,000	0,888	0,287
1,033	0,928	0,284
1,067	0,970	0,281
1,100	1,012	0,278
1,133	1,055	0,276
1,167	1,098	0,276
1,200	1,139	0,278
1,233	1,180	0,284
1,267	1,223	0,286
1,300	1,261	0,293
1,333	1,298	0,301
1,367	1,333	0,309
1,400	1,367	0,317
1,433	1,398	0,323
