mass_A
t	x	y
0,000	5,594E−3	0,408
0,033	1,274E−2	0,404
0,067	2,282E−2	0,400
0,100	3,579E−2	0,394
0,133	5,196E−2	0,387
0,167	7,168E−2	0,378
0,200	9,408E−2	0,369
0,233	0,119	0,358
0,267	0,148	0,347
0,300	0,179	0,338
0,333	0,213	0,331
0,367	0,248	0,329
0,400	0,283	0,333
0,433	0,317	0,339
0,467	0,348	0,344
0,500	0,378	0,348
0,533	0,409	0,349
0,567	0,439	0,346
0,600	0,469	0,339
0,633	0,501	0,329
0,667	0,535	0,318
0,700	0,571	0,306
0,733	0,610	0,297
0,767	0,651	0,290
0,800	0,693	0,288
0,833	0,736	0,289
0,867	0,777	0,289
0,900	0,819	0,289
0,933	0,861	0,288
0,967	0,903	0,286
1,000	0,944	0,283
1,033	0,987	0,284
1,067	1,031	0,277
1,100	1,074	0,276
1,133	1,118	0,277
1,167	1,161	0,278
1,200	1,203	0,283
1,233	1,244	0,290
1,267	1,282	0,298
1,300	1,319	0,307
1,333	1,354	0,315
1,367	1,386	0,321
