mass_A
t	x	y
0,000	1,561E−3	0,408
0,033	5,937E−3	0,406
0,067	1,214E−2	0,401
0,100	2,139E−2	0,396
0,133	3,385E−2	0,391
0,167	4,955E−2	0,384
0,200	6,841E−2	0,375
0,233	9,050E−2	0,366
0,267	0,115	0,356
0,300	0,144	0,344
0,333	0,175	0,336
0,367	0,210	0,329
0,400	0,244	0,327
0,433	0,279	0,331
0,467	0,313	0,337
0,500	0,343	0,342
0,533	0,374	0,345
0,567	0,405	0,347
0,600	0,434	0,344
0,633	0,464	0,337
0,667	0,495	0,328
0,700	0,528	0,318
0,733	0,563	0,306
0,767	0,602	0,298
0,800	0,642	0,289
0,833	0,684	0,286
0,867	0,726	0,285
0,900	0,767	0,287
0,933	0,809	0,287
0,967	0,850	0,286
1,000	0,891	0,284
1,033	0,932	0,282
1,067	0,974	0,279
1,100	1,016	0,276
1,133	1,059	0,274
1,167	1,102	0,274
1,200	1,145	0,276
1,233	1,187	0,282
1,267	1,228	0,285
1,300	1,266	0,292
1,333	1,303	0,301
1,367	1,337	0,309
1,400	1,370	0,316
1,433	1,402	0,323
