mass_A
t	x	y
0,000	3,962E−3	0,407
0,033	7,788E−3	0,405
0,067	1,496E−2	0,402
0,100	2,464E−2	0,398
0,133	3,699E−2	0,392
0,167	5,392E−2	0,385
0,200	7,256E−2	0,376
0,233	9,464E−2	0,366
0,267	0,119	0,356
0,300	0,148	0,346
0,333	0,179	0,336
0,367	0,213	0,330
0,400	0,249	0,329
0,433	0,283	0,332
0,467	0,315	0,339
0,500	0,347	0,344
0,533	0,377	0,347
0,567	0,407	0,348
0,600	0,436	0,345
0,633	0,466	0,338
0,667	0,498	0,329
0,700	0,531	0,318
0,733	0,567	0,306
0,767	0,605	0,296
0,800	0,646	0,290
0,833	0,688	0,287
0,867	0,729	0,287
0,900	0,771	0,288
0,933	0,813	0,288
0,967	0,854	0,287
1,000	0,896	0,286
1,033	0,937	0,283
1,067	0,979	0,280
1,100	1,022	0,276
1,133	1,065	0,275
1,167	1,109	0,275
1,200	1,151	0,277
1,233	1,194	0,281
1,267	1,235	0,287
1,300	1,273	0,295
1,333	1,310	0,303
1,367	1,344	0,311
1,400	1,376	0,321
