mass_A
t	x	y
0,000	6,060E−3	0,408
0,033	6,960E−3	0,407
0,067	1,112E−2	0,405
0,100	1,798E−2	0,402
0,133	2,702E−2	0,398
0,167	3,852E−2	0,392
0,200	5,345E−2	0,385
0,233	7,301E−2	0,377
0,267	9,556E−2	0,368
0,300	0,121	0,357
0,333	0,148	0,347
0,367	0,178	0,338
0,400	0,211	0,331
0,433	0,246	0,329
0,467	0,280	0,332
0,500	0,312	0,337
0,533	0,343	0,343
0,567	0,372	0,347
0,600	0,403	0,350
0,633	0,432	0,346
0,667	0,461	0,340
0,700	0,492	0,332
0,733	0,524	0,321
0,767	0,559	0,310
0,800	0,595	0,300
0,833	0,635	0,291
0,867	0,676	0,287
0,900	0,718	0,286
0,933	0,758	0,287
0,967	0,801	0,288
1,000	0,841	0,287
1,033	0,881	0,286
1,067	0,923	0,284
1,100	0,964	0,280
1,133	1,006	0,277
1,167	1,048	0,275
1,200	1,091	0,275
1,233	1,132	0,276
1,267	1,173	0,280
1,300	1,215	0,284
1,333	1,253	0,291
1,367	1,289	0,299
1,400	1,323	0,307
1,433	1,357	0,314
1,467	1,385	0,323
